"itemID","systemSku","defaultCost","avgCost","discountable","tax","archived","itemType","serialized","description","modelYear","upc","ean","customSku","manufacturerSku","createTime","timeStamp","publishToEcom","categoryID","taxClassID","departmentID","itemMatrixID","manufacturerID","seasonID","defaultVendorID","ItemShops","Prices"
"335","210000000335","125","125","true","true","false","default","false","Stacked Pendant | Large","0","","","LIGHT- 10002","","2015-10-05T16:23:59+00:00","2018-04-23T21:53:47+00:00","false","238","2","0","0","0","0","27","{""ItemShop"":[{""itemShopID"":""670"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-04-23T21:53:47+00:00"",""itemID"":""335"",""shopID"":""1""},{""itemShopID"":""671"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2017-10-07T19:24:05+00:00"",""itemID"":""335"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""250"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"348","210000000348","328","328","true","true","false","default","false","Ruth Table Lamp | Black","0","","","LIGHT- 10015","","2015-10-05T16:24:03+00:00","2018-04-23T21:43:34+00:00","false","240","2","0","0","0","0","52","{""ItemShop"":[{""itemShopID"":""696"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-04-23T21:43:34+00:00"",""itemID"":""348"",""shopID"":""1""},{""itemShopID"":""697"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2016-08-02T21:08:51+00:00"",""itemID"":""348"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""650"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"349","210000000349","328","328","true","true","false","default","false","Ruth Table Lamp | Matte Ecru","0","","","LIGHT- 10016","","2015-10-05T16:24:03+00:00","2018-04-23T21:43:41+00:00","false","240","2","0","0","0","0","52","{""ItemShop"":[{""itemShopID"":""698"",""qoh"":""2"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-04-23T21:43:41+00:00"",""itemID"":""349"",""shopID"":""1""},{""itemShopID"":""699"",""qoh"":""2"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2017-10-04T17:35:38+00:00"",""itemID"":""349"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""650"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"353","210000000353","700","700","true","true","false","default","false","Orbit Chandelier | Black | 42""","0","","","LIGHT- 10020","","2015-10-05T16:24:04+00:00","2019-02-05T22:27:31+00:00","false","107","2","0","0","0","0","53","{""ItemShop"":[{""itemShopID"":""706"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-02-05T22:27:31+00:00"",""itemID"":""353"",""shopID"":""1""},{""itemShopID"":""707"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-02-05T22:27:31+00:00"",""itemID"":""353"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""1400"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"355","210000000355","1400","1400","true","true","false","default","false","Stellar Chandelier | Bronze | 56""","0","","","LIGHT- 10022","","2015-10-05T16:24:05+00:00","2019-03-04T18:19:32+00:00","false","238","2","0","0","0","0","53","{""ItemShop"":[{""itemShopID"":""710"",""qoh"":""2"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-11T20:55:59+00:00"",""itemID"":""355"",""shopID"":""1""},{""itemShopID"":""711"",""qoh"":""2"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-11T20:55:59+00:00"",""itemID"":""355"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""2800"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"358","210000000358","395","395","true","true","false","default","false","Italian Wrought Iron Chandelier","0","","","LIGHT- 10025","","2015-10-05T16:24:06+00:00","2018-04-19T20:39:40+00:00","false","212","2","0","0","0","0","35","{""ItemShop"":[{""itemShopID"":""716"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-04-19T20:39:40+00:00"",""itemID"":""358"",""shopID"":""1""},{""itemShopID"":""717"",""qoh"":""1"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2015-10-05T16:24:06+00:00"",""itemID"":""358"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""980"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"365","210000000365","1.53","1.53","false","true","false","default","false","Recycled Moroccan Glass | Small","0","","","TBLTP- 10001","","2015-10-05T16:24:08+00:00","2019-03-23T21:07:49+00:00","false","245","2","0","0","0","0","23","{""ItemShop"":[{""itemShopID"":""730"",""qoh"":""95"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-23T21:07:49+00:00"",""itemID"":""365"",""shopID"":""1""},{""itemShopID"":""731"",""qoh"":""95"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-23T21:07:49+00:00"",""itemID"":""365"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""6"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"366","210000000366","1.61","1.61","true","true","false","default","false","Recycled Moroccan Glass | Large","0","","","TBLTP- 10002","","2015-10-05T16:24:09+00:00","2019-03-05T17:39:40+00:00","false","245","2","0","0","0","0","23","{""ItemShop"":[{""itemShopID"":""732"",""qoh"":""97"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-05T17:39:40+00:00"",""itemID"":""366"",""shopID"":""1""},{""itemShopID"":""733"",""qoh"":""97"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-05T17:39:40+00:00"",""itemID"":""366"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""8"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"367","210000000367","17.92","17.92","false","true","false","default","false","AdV Colbert Deep Dish","0","","","TBLTP- 10003","CPBCLB01","2015-10-05T16:24:09+00:00","2018-11-27T19:57:06+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""734"",""qoh"":""2"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T19:57:06+00:00"",""itemID"":""367"",""shopID"":""1""},{""itemShopID"":""735"",""qoh"":""2"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-06-24T20:09:10+00:00"",""itemID"":""367"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""50"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"368","210000000368","20.16","20.16","false","true","false","default","false","AdV Simple Chocolate Saucer","0","","","TBLTP- 10004","SSCSMP3","2015-10-05T16:24:09+00:00","2018-11-27T19:57:11+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""736"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-11-27T19:57:11+00:00"",""itemID"":""368"",""shopID"":""1""},{""itemShopID"":""737"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2018-09-27T14:34:00+00:00"",""itemID"":""368"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""50"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
"369","210000000369","22.4","22.4","false","true","false","default","false","AdV Simple Side Plate","0","","","TBLTP- 10005","ASPSMP1","2015-10-05T16:24:10+00:00","2019-03-01T15:25:55+00:00","false","243","2","0","0","0","0","26","{""ItemShop"":[{""itemShopID"":""738"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-01T15:25:55+00:00"",""itemID"":""369"",""shopID"":""1""},{""itemShopID"":""739"",""qoh"":""3"",""backorder"":""0"",""componentQoh"":""0"",""componentBackorder"":""0"",""reorderPoint"":""0"",""reorderLevel"":""0"",""timeStamp"":""2019-03-01T15:25:55+00:00"",""itemID"":""369"",""shopID"":""0""}]}","{""ItemPrice"":[{""amount"":""60"",""useTypeID"":""1"",""useType"":""Default""},{""amount"":""0"",""useTypeID"":""2"",""useType"":""MSRP""}]}"
